<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2022.08.17	11:00:44.035	134.847	134.847			6
2022.08.17	11:00:44.454	134.846	134.846			6
2022.08.17	11:00:44.882	134.847	134.847			6
2022.08.17	11:00:45.218	134.846	134.846			6
2022.08.17	11:00:45.522	134.847	134.847			6
2022.08.17	11:00:45.872	134.846	134.846			6
2022.08.17	11:00:46.278	134.847	134.847			6
2022.08.17	11:00:46.409	134.848	134.848			6
2022.08.17	11:00:46.472	134.849	134.849			6
2022.08.17	11:00:46.604	134.848	134.848			6
2022.08.17	11:00:46.726	134.847	134.847			6
2022.08.17	11:00:46.919	134.848	134.848			6
2022.08.17	11:00:47.339	134.853	134.853			6
2022.08.17	11:00:47.454	134.856	134.856			6
2022.08.17	11:00:47.875	134.857	134.857			6
2022.08.17	11:00:48.004	134.856	134.856			6
2022.08.17	11:00:48.205	134.857	134.857			6
2022.08.17	11:00:48.303	134.856	134.856			6
2022.08.17	11:00:48.633	134.857	134.857			6
2022.08.17	11:00:48.725	134.855	134.855			6
2022.08.17	11:00:48.822	134.854	134.854			6
2022.08.17	11:00:49.035	134.853	134.853			6
2022.08.17	11:00:49.175	134.855	134.855			6
2022.08.17	11:00:49.282	134.854	134.854			6
2022.08.17	11:00:49.482	134.855	134.855			6
2022.08.17	11:00:49.577	134.854	134.854			6
2022.08.17	11:00:49.683	134.853	134.853			6
2022.08.17	11:00:49.811	134.854	134.854			6
2022.08.17	11:00:49.911	134.853	134.853			6
2022.08.17	11:00:50.336	134.852	134.852			6
2022.08.17	11:00:50.436	134.854	134.854			6
2022.08.17	11:00:50.536	134.853	134.853			6
2022.08.17	11:00:50.632	134.852	134.852			6
2022.08.17	11:00:51.099	134.851	134.851			6
2022.08.17	11:00:51.193	134.853	134.853			6
2022.08.17	11:00:51.391	134.854	134.854			6
2022.08.17	11:00:51.487	134.853	134.853			6
2022.08.17	11:00:51.593	134.854	134.854			6
2022.08.17	11:00:51.839	134.853	134.853			6
2022.08.17	11:00:51.938	134.854	134.854			6
2022.08.17	11:00:52.242	134.853	134.853			6
2022.08.17	11:00:52.442	134.854	134.854			6
2022.08.17	11:00:52.794	134.853	134.853			6
2022.08.17	11:00:52.895	134.852	134.852			6
2022.08.17	11:00:52.994	134.853	134.853			6
2022.08.17	11:00:53.091	134.852	134.852			6
2022.08.17	11:00:54.407	134.850	134.850			6
2022.08.17	11:00:54.503	134.847	134.847			6
2022.08.17	11:00:55.016	134.851	134.851			6
2022.08.17	11:00:55.261	134.852	134.852			6
2022.08.17	11:00:55.363	134.853	134.853			6
2022.08.17	11:00:55.456	134.854	134.854			6
2022.08.17	11:00:55.660	134.853	134.853			6
2022.08.17	11:00:55.760	134.855	134.855			6
2022.08.17	11:00:56.217	134.856	134.856			6
2022.08.17	11:00:56.312	134.854	134.854			6
2022.08.17	11:00:56.714	134.855	134.855			6
2022.08.17	11:00:56.853	134.853	134.853			6
2022.08.17	11:00:56.964	134.854	134.854			6
2022.08.17	11:00:57.065	134.855	134.855			6
2022.08.17	11:00:57.162	134.854	134.854			6
2022.08.17	11:00:57.264	134.855	134.855			6
2022.08.17	11:00:57.360	134.854	134.854			6
2022.08.17	11:00:57.460	134.853	134.853			6
2022.08.17	11:00:57.572	134.854	134.854			6
2022.08.17	11:00:57.691	134.855	134.855			6
2022.08.17	11:00:58.549	134.856	134.856			6
2022.08.17	11:00:58.673	134.852	134.852			6
2022.08.17	11:00:58.872	134.851	134.851			6
2022.08.17	11:00:58.971	134.852	134.852			6
2022.08.17	11:00:59.097	134.851	134.851			6
2022.08.17	11:00:59.199	134.850	134.850			6
2022.08.17	11:00:59.294	134.851	134.851			6
2022.08.17	11:00:59.523	134.853	134.853			6
2022.08.17	11:00:59.626	134.863	134.863			6
2022.08.17	11:00:59.726	134.871	134.871			6
2022.08.17	11:01:00.022	134.873	134.873			6
2022.08.17	11:01:00.133	134.872	134.872			6
2022.08.17	11:01:00.255	134.874	134.874			6
2022.08.17	11:01:00.408	134.878	134.878			6
2022.08.17	11:01:00.473	134.879	134.879			6
2022.08.17	11:01:00.577	134.881	134.881			6
2022.08.17	11:01:00.690	134.882	134.882			6
2022.08.17	11:01:00.789	134.880	134.880			6
2022.08.17	11:01:00.879	134.882	134.882			6
2022.08.17	11:01:00.989	134.880	134.880			6
2022.08.17	11:01:01.115	134.878	134.878			6
2022.08.17	11:01:01.234	134.880	134.880			6
2022.08.17	11:01:01.329	134.879	134.879			6
2022.08.17	11:01:01.537	134.880	134.880			6
2022.08.17	11:01:01.630	134.878	134.878			6
2022.08.17	11:01:01.732	134.877	134.877			6
2022.08.17	11:01:01.839	134.880	134.880			6
2022.08.17	11:01:01.956	134.882	134.882			6
2022.08.17	11:01:02.085	134.881	134.881			6
2022.08.17	11:01:02.182	134.882	134.882			6
2022.08.17	11:01:02.281	134.881	134.881			6
2022.08.17	11:01:02.484	134.882	134.882			6
2022.08.17	11:01:02.584	134.878	134.878			6
2022.08.17	11:01:02.688	134.877	134.877			6
2022.08.17	11:01:02.936	134.878	134.878			6
2022.08.17	11:01:03.347	134.879	134.879			6
2022.08.17	11:01:03.435	134.878	134.878			6
2022.08.17	11:01:03.544	134.880	134.880			6
2022.08.17	11:01:03.657	134.879	134.879			6
2022.08.17	11:01:03.776	134.880	134.880			6
2022.08.17	11:01:03.885	134.878	134.878			6
2022.08.17	11:01:03.983	134.879	134.879			6
2022.08.17	11:01:04.183	134.880	134.880			6
2022.08.17	11:01:04.291	134.878	134.878			6
2022.08.17	11:01:04.388	134.879	134.879			6
2022.08.17	11:01:04.735	134.880	134.880			6
2022.08.17	11:01:04.834	134.879	134.879			6
2022.08.17	11:01:05.241	134.880	134.880			6
2022.08.17	11:01:05.368	134.878	134.878			6
2022.08.17	11:01:05.486	134.879	134.879			6
2022.08.17	11:01:05.693	134.878	134.878			6
2022.08.17	11:01:05.795	134.875	134.875			6
2022.08.17	11:01:05.989	134.874	134.874			6
2022.08.17	11:01:06.098	134.876	134.876			6
2022.08.17	11:01:06.225	134.873	134.873			6
2022.08.17	11:01:06.386	134.875	134.875			6
2022.08.17	11:01:06.540	134.874	134.874			6
2022.08.17	11:01:06.645	134.875	134.875			6
2022.08.17	11:01:06.743	134.873	134.873			6
2022.08.17	11:01:06.843	134.874	134.874			6
2022.08.17	11:01:07.071	134.872	134.872			6
2022.08.17	11:01:07.496	134.873	134.873			6
2022.08.17	11:01:07.702	134.874	134.874			6
2022.08.17	11:01:07.801	134.875	134.875			6
2022.08.17	11:01:07.926	134.876	134.876			6
2022.08.17	11:01:08.048	134.875	134.875			6
2022.08.17	11:01:09.099	134.874	134.874			6
2022.08.17	11:01:09.209	134.875	134.875			6
