<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	03:31:00	0.63371	0.63393	0.63371	0.63393	27	0	5
2022.08.17	03:32:00	0.63392	0.63398	0.63383	0.63388	22	0	4
2022.08.17	03:33:00	0.63388	0.63394	0.63383	0.63383	44	0	5
2022.08.17	03:34:00	0.63383	0.63393	0.63383	0.63385	50	0	4
2022.08.17	03:35:00	0.63386	0.63392	0.63376	0.63378	30	0	8
2022.08.17	03:36:00	0.63378	0.63388	0.63376	0.63383	52	0	7
2022.08.17	03:37:00	0.63384	0.63389	0.63378	0.63379	32	0	7
2022.08.17	03:38:00	0.63378	0.63379	0.63372	0.63373	24	0	8
2022.08.17	03:39:00	0.63373	0.63394	0.63370	0.63393	30	0	7
2022.08.17	03:40:00	0.63393	0.63398	0.63383	0.63384	10	0	7
2022.08.17	03:41:00	0.63383	0.63393	0.63378	0.63388	26	0	8
2022.08.17	03:42:00	0.63389	0.63395	0.63372	0.63372	27	0	6
2022.08.17	03:43:00	0.63372	0.63377	0.63362	0.63373	8	0	3
2022.08.17	03:44:00	0.63372	0.63376	0.63367	0.63372	14	0	5
2022.08.17	03:45:00	0.63372	0.63380	0.63372	0.63377	8	0	4
2022.08.17	03:46:00	0.63377	0.63384	0.63377	0.63378	20	0	6
2022.08.17	03:47:00	0.63378	0.63378	0.63368	0.63377	37	0	4
2022.08.17	03:48:00	0.63377	0.63388	0.63373	0.63388	46	0	3
2022.08.17	03:49:00	0.63388	0.63394	0.63387	0.63389	50	0	5
2022.08.17	03:50:00	0.63389	0.63400	0.63387	0.63387	35	0	5
2022.08.17	03:51:00	0.63387	0.63398	0.63381	0.63396	53	0	6
2022.08.17	03:52:00	0.63398	0.63404	0.63393	0.63397	46	0	5
2022.08.17	03:53:00	0.63398	0.63405	0.63396	0.63402	59	0	5
2022.08.17	03:54:00	0.63402	0.63404	0.63388	0.63400	71	0	5
2022.08.17	03:55:00	0.63400	0.63420	0.63397	0.63419	60	0	4
2022.08.17	03:56:00	0.63418	0.63422	0.63401	0.63404	49	0	3
2022.08.17	03:57:00	0.63404	0.63422	0.63403	0.63418	59	0	4
2022.08.17	03:58:00	0.63418	0.63423	0.63408	0.63417	48	0	3
2022.08.17	03:59:00	0.63417	0.63423	0.63417	0.63419	52	0	3
2022.08.17	04:00:00	0.63418	0.63418	0.63402	0.63404	51	0	5
2022.08.17	04:01:00	0.63407	0.63413	0.63404	0.63412	47	0	5
2022.08.17	04:02:00	0.63411	0.63415	0.63401	0.63412	48	0	5
2022.08.17	04:03:00	0.63412	0.63418	0.63408	0.63412	57	0	6
2022.08.17	04:04:00	0.63412	0.63413	0.63403	0.63413	36	0	7
2022.08.17	04:05:00	0.63413	0.63418	0.63407	0.63413	50	0	5
2022.08.17	04:06:00	0.63413	0.63417	0.63408	0.63413	39	0	5
2022.08.17	04:07:00	0.63416	0.63423	0.63404	0.63408	35	0	4
2022.08.17	04:08:00	0.63408	0.63418	0.63405	0.63412	35	0	6
2022.08.17	04:09:00	0.63413	0.63418	0.63407	0.63418	34	0	5
2022.08.17	04:10:00	0.63413	0.63423	0.63413	0.63422	29	0	7
2022.08.17	04:11:00	0.63422	0.63445	0.63422	0.63443	46	0	3
2022.08.17	04:12:00	0.63443	0.63447	0.63434	0.63439	14	0	7
2022.08.17	04:13:00	0.63439	0.63453	0.63438	0.63453	23	0	6
2022.08.17	04:14:00	0.63453	0.63468	0.63448	0.63448	37	0	7
2022.08.17	04:15:00	0.63448	0.63477	0.63443	0.63472	57	0	3
2022.08.17	04:16:00	0.63472	0.63473	0.63463	0.63467	33	0	6
2022.08.17	04:17:00	0.63467	0.63469	0.63457	0.63459	56	0	5
2022.08.17	04:18:00	0.63459	0.63464	0.63452	0.63464	35	0	6
2022.08.17	04:19:00	0.63464	0.63477	0.63462	0.63477	19	0	6
2022.08.17	04:20:00	0.63477	0.63478	0.63473	0.63473	24	0	8
2022.08.17	04:21:00	0.63473	0.63473	0.63463	0.63466	20	0	8
2022.08.17	04:22:00	0.63467	0.63472	0.63462	0.63462	27	0	7
2022.08.17	04:23:00	0.63463	0.63470	0.63458	0.63470	27	0	7
2022.08.17	04:24:00	0.63468	0.63474	0.63463	0.63463	21	0	6
2022.08.17	04:25:00	0.63458	0.63468	0.63453	0.63453	14	0	7
2022.08.17	04:26:00	0.63453	0.63453	0.63443	0.63448	12	0	8
2022.08.17	04:27:00	0.63448	0.63459	0.63446	0.63459	30	0	6
2022.08.17	04:28:00	0.63460	0.63477	0.63458	0.63477	20	0	4
2022.08.17	04:29:00	0.63477	0.63480	0.63466	0.63466	23	0	7
2022.08.17	04:30:00	0.63467	0.63468	0.63354	0.63375	151	0	2
2022.08.17	04:31:00	0.63374	0.63397	0.63363	0.63384	101	0	5
2022.08.17	04:32:00	0.63385	0.63387	0.63356	0.63356	59	0	7
2022.08.17	04:33:00	0.63356	0.63372	0.63353	0.63358	42	0	6
2022.08.17	04:34:00	0.63358	0.63363	0.63316	0.63327	47	0	7
2022.08.17	04:35:00	0.63328	0.63336	0.63311	0.63313	35	0	6
2022.08.17	04:36:00	0.63317	0.63317	0.63299	0.63303	23	0	5
