<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	02:41:00	0.94954	0.94954	0.94954	0.94954	1	0	12
2022.08.17	02:42:00	0.94955	0.94956	0.94955	0.94956	4	0	11
2022.08.17	02:43:00	0.94956	0.94962	0.94956	0.94961	7	0	7
2022.08.17	02:44:00	0.94961	0.94961	0.94955	0.94955	6	0	7
2022.08.17	02:45:00	0.94955	0.94956	0.94950	0.94951	8	0	7
2022.08.17	02:46:00	0.94951	0.94951	0.94950	0.94950	2	0	11
2022.08.17	02:47:00	0.94950	0.94950	0.94948	0.94949	6	0	11
2022.08.17	02:48:00	0.94946	0.94948	0.94946	0.94948	3	0	12
2022.08.17	02:49:00	0.94948	0.94954	0.94948	0.94950	32	0	7
2022.08.17	02:50:00	0.94950	0.94954	0.94949	0.94949	9	0	12
2022.08.17	02:51:00	0.94949	0.94955	0.94949	0.94954	26	0	12
2022.08.17	02:52:00	0.94956	0.94961	0.94954	0.94955	12	0	8
2022.08.17	02:53:00	0.94956	0.94956	0.94953	0.94954	14	0	12
2022.08.17	02:54:00	0.94955	0.94956	0.94952	0.94956	34	0	12
2022.08.17	02:55:00	0.94955	0.94955	0.94952	0.94952	7	0	13
2022.08.17	02:56:00	0.94952	0.94955	0.94950	0.94951	8	0	11
2022.08.17	02:57:00	0.94951	0.94963	0.94951	0.94960	21	0	11
2022.08.17	02:58:00	0.94963	0.94969	0.94963	0.94966	25	0	7
2022.08.17	02:59:00	0.94969	0.94969	0.94964	0.94967	32	0	11
2022.08.17	03:00:00	0.94966	0.94976	0.94966	0.94969	54	0	6
2022.08.17	03:01:00	0.94970	0.94984	0.94970	0.94983	42	0	6
2022.08.17	03:02:00	0.94983	0.94983	0.94980	0.94982	24	0	6
2022.08.17	03:03:00	0.94981	0.95003	0.94980	0.95002	41	0	3
2022.08.17	03:04:00	0.95002	0.95009	0.94999	0.95000	34	0	6
2022.08.17	03:05:00	0.95000	0.95008	0.95000	0.95007	17	0	7
2022.08.17	03:06:00	0.95007	0.95010	0.94991	0.94994	43	0	6
2022.08.17	03:07:00	0.94995	0.94996	0.94984	0.94985	31	0	3
2022.08.17	03:08:00	0.94986	0.94986	0.94981	0.94981	46	0	7
2022.08.17	03:09:00	0.94982	0.94982	0.94976	0.94976	43	0	7
2022.08.17	03:10:00	0.94977	0.94988	0.94975	0.94984	56	0	6
